
80,89,14.73
90,53,56.89
120,54,11.28
180,242,29.04
260,437,30.94
330,324,20.41
470,65,8.18
580,701,17.69
650,255,59.07
810,208,5.65
930,89,22.67
1010,114,8.47
1040,343,30.05
1070,115,12.43
1160,371,33.72
1180,127,11.51
1300,250,15.04
1390,159,14.56
1600,91,9.75
1610,346,45.93
1760,345,40.97
1790,103,7.89
1970,178,7.28
2120,67,81.16
2250,107,60.18
2300,106,10.08
2530,878,1293.62
2540,86,29.1
2550,275,15.49
2630,253,11.03
2750,253,9.51
2770,127,19.62
2780,95,11.49
2840,148,26.54
2900,362,9.69
2970,416,13.94
3150,515,51.98
3180,330,27.14
3230,180,16.66
3260,631,53.41
3400,482,18.8
3470,148,7.52
3510,188,16.41
3530,46,31.18
3790,158,1.87
4080,596,60.48
4110,150,4.28
4170,39,5.69
4230,257,30.17
4320,170,3.55
4430,123,53.45
4610,135,12.75
4630,163,5.57
4670,292,8.47
4850,98,10.3
4860,135,3.27
4870,114,5.85
4880,302,16.05
4930,92,5.22
5170,214,50.16
5260,241,2.87
5460,288,6.81
5600,474,27.94
5690,41,3.63
5880,249,6.46
6080,346,25.79
6110,335,2.5
6130,673,38.07
6210,141,1.97
6340,80,7.15
6430,99,3.67
6440,234,16.07
6530,204,6.33
6890,117,4.58
7180,98,3.54
7190,188,6.53
7260,86,56.28
7440,564,20.74
7470,60,0.88
7540,280,6.25
7720,564,27.09
7880,157,17.04
7940,425,8.67
7990,542,14.56
8050,481,31.93
8140,337,7.72
8790,127,24.06
8800,134,80.89
8830,39,0.88
8880,38,1.8
8940,64,1.13
8950,113,1.3
8970,198,7.8
9240,676,8.41
9410,162,317.81
9570,130,1.42
9650,348,13.12
9750,278,14.88
10190,307,8.66
10230,454,13.59
10260,308,8.14
10300,282,10.41
10580,350,37.89
10600,338,4.16
10610,229,6.2
10670,142,3.06
10680,148,12.04
10810,95,2.33
10860,282,6.62
10870,212,5.46
10880,145,21.61
10980,125,6.03
10990,149,22.08
11060,408,11.3
11200,123,2.51
11330,242,9.13
11430,78,6.67
11460,77,2.79
11500,368,20.56
11520,124,4.09
11620,338,237.57
11680,197,11.56
11690,177,5.54
11720,173,6.75
11740,152,2.87
11820,152,7.43
11930,294,15.32
11950,344,20.44
12140,201,1.96
12290,89,4.41
12330,65,3.78
12720,52,2.25
12870,607,9.8
12880,222,10.24
12890,359,10.77
13000,278,5.51
13060,126,14.74
13160,83,2
13170,130,5.37
13200,225,4.45
13430,92,6.24
13460,259,7.04
13470,161,3.54
13540,233,51.36
13550,287,1.96
13620,321,58.15
14040,711,14.33
14300,56,15.83
14310,35,5.35
14330,129,12.44
14350,124,4.05
14370,27,7.71
14410,510,28.47
14530,1222,137.82
14570,80,1.13
14760,109,2.54
14770,216,50.45
15040,176,4.67
15190,172,2.59
15240,278,22.49
15310,483,3
15390,322,15.32
15470,94,14.03
15690,465,9.34
15700,58,1.75
15880,137,10.89
15900,38,1.59
16100,196,398.29
16110,97,3.12
16140,496,30.78
16320,262,3.17
16330,75,6.84
16340,444,38.6
16460,98,5.6
16550,512,28.36
16610,479,14.98
16660,80,4.16
16770,454,57.54
16860,285,17.14
16940,118,2.05
16970,61,2.78
17020,263,6.18
17140,217,13.34
17170,378,100.16
17250,86,14.53
17320,344,13.1
17370,243,20.24
17430,63,1.67
17500,81,9.91
17670,156,2.09
17770,241,8.12
17840,139,13.1
17870,19,16.85
17880,122,1.21
17960,160,20.19
17980,178,9.44
18010,407,20.1
18080,247,3.92
18250,94,1.3
18290,180,35.03
18450,1042,285.66
18460,57,3.05
18700,314,6.74
18920,163,4.68
19030,266,2
19280,94,9.3
19790,64,9.71
19970,44,1.75
20040,217,3.75
20420,400,31.86
20450,99,6.24
20510,93,5.26
20840,114,8.93
20850,138,2
20880,69,5.28
20910,1566,51.97
21060,64,0.96
21280,189,25.8
21460,96,8.41
21560,152,2.25
21640,98,168.45
21830,106,16.09
